,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,-123.92606838204674,-121.27714932101715,-119.28307693701046,-121.32213715352775,-120.5340387138324,-122.90633823712159,-123.40031601941863,-122.6022088549005,-123.60274758651184,-119.69079160540733,-126.06951856024693,-124.88548617685419,-123.87194810200212,-124.17059280337376,-123.95105493958619,-122.31152559395909,-120.9825736823814,-128.08483084701012,-123.29916079139429,-122.55592065491669,-122.08364102488954,-123.21007874758162,-118.98938654540602,-123.34254556794352,-127.95105734897633,-118.98846057731606,-123.19219000668464,-119.04389226418778,-125.09472448923262,-120.17929728972746
1,-128.71804921340637,-130.23630754234085,-127.31065401943964,-126.12722286064498,-125.92439761675837,-123.17486387869245,-127.84045616085945,-123.76354796697548,-128.1155788171611,-126.54136786936961,-125.5414207579188,-129.72863059411088,-127.3408972142702,-128.7662521142009,-130.40639782798294,-123.1340758271366,-125.80204497925155,-131.9022116037825,-129.32058110988743,-127.18169931548778,-121.75377141270323,-126.87317532976124,-123.78435344773374,-127.41684160353344,-130.6721950003507,-121.19868380263765,-121.09605670650329,-123.72544939396455,-133.48104439272194,-121.21721068692457
2,-143.08820430961256,-144.78518680132356,-145.25220945883873,-142.88988965984475,-138.72667537201752,-135.60044611931113,-141.94055056210456,-135.66362127645183,-144.0464428875511,-141.9941514026092,-137.924483833904,-145.28261233721088,-141.0557228345367,-140.90341137802506,-144.65218879950845,-131.9440161238795,-138.78043891197066,-143.9461179556502,-146.6840626517645,-141.70327911958643,-133.4332155429669,-141.7486739120208,-136.0486417738492,-140.55460842110728,-144.20751360882048,-133.9253680594567,-132.740832130082,-141.75906505331434,-147.9962092113826,-134.2452973167923
3,-152.94518049771975,-149.8894851233771,-153.99878801863096,-153.45632273123033,-145.9835000301293,-151.22454397849413,-151.84642518198098,-150.863727528507,-154.4766634429099,-155.81352227308585,-149.71507897444582,-154.32876524534146,-147.5489881096358,-149.41051728048572,-153.3472006449568,-143.44596640259522,-146.57836180792938,-149.97477654068135,-157.27420852087337,-153.7095511885684,-145.64318498425357,-148.66224836678134,-146.71968739474784,-148.09918771885876,-155.26604631184682,-149.4594403491184,-147.18795250469657,-153.45325330605004,-155.166476153577,-151.6173245425112
4,-155.04268886860794,-152.62560349278684,-152.27177128948085,-154.1617670291306,-148.54850339608487,-155.14371893418226,-151.87365567142643,-155.58531481444734,-154.0658862635374,-157.12589645985514,-154.63906757581523,-154.69263084020525,-151.2388450147424,-153.58136672485278,-157.54762319798593,-149.714567088492,-152.0299433183348,-154.02974046995607,-155.64908836659134,-158.34341787666443,-150.39449958426425,-149.08787318189732,-151.55683883182417,-151.77372251753897,-158.04837409976957,-155.85071001502638,-155.33334382915405,-153.13834594860586,-157.2920821103552,-155.10522447045128
5,-147.56007145101228,-149.00125692608776,-146.49206711650208,-147.99616741262443,-145.39340982303585,-148.45319414035106,-147.88516373489261,-145.4238367723622,-146.62787597091955,-146.312829452957,-150.66549508262145,-148.95117765379536,-145.85470237041665,-150.90544260620152,-152.76379676015935,-144.62662468408226,-151.19475258030187,-149.37880595243925,-147.69668255876144,-150.8968024143911,-146.0921891710815,-143.79024908927192,-149.04746810266067,-145.23899640335233,-149.7226586618286,-146.81350270957319,-151.09561417249992,-144.86974865626587,-148.81417774619783,-145.89327924756742
6,-140.77348670822659,-142.978068227937,-139.63470744788327,-143.96904102081447,-141.22215695044517,-146.19996711768306,-146.51029194532362,-138.41413816622142,-142.7293002282496,-137.22776866148826,-145.93991961760375,-142.92532717390083,-137.89706265033288,-145.4380869872888,-145.40722289570112,-142.3542967451878,-146.49551433085003,-142.65391017057826,-145.65774772807947,-145.1463517463519,-141.63411045588242,-136.72354150590328,-145.897360248444,-137.82941903596586,-140.60800157410884,-140.71741957669346,-145.15586886253934,-138.61972543468391,-139.7220223639632,-141.5876397405167
7,-133.08024318217338,-137.01519812924113,-132.97710693335716,-139.51665265097276,-142.54728990214085,-145.51491247623179,-145.92990673099214,-135.686849504215,-142.93087550380116,-132.3087801241057,-141.7452768959817,-134.20229888383486,-137.28242174454883,-141.6740222996528,-140.72277538189607,-137.86237561907865,-140.57439856919126,-138.2258515073771,-145.0509789667082,-142.24008887542536,-136.66233209314947,-132.96064909018415,-144.42212272375843,-137.06340931792695,-131.99286132791002,-139.76145042698067,-137.40671235464083,-132.45019242021752,-135.91977347055015,-137.4003737026047
8,-135.1607379379318,-138.53074795661254,-137.71607996430217,-137.13448370715307,-146.24662354026242,-145.63965966641095,-149.65244778148016,-137.2270167853928,-148.9415301088092,-136.15103777209742,-146.1269271632366,-133.36753371205435,-138.64331282415694,-136.8389797097368,-144.61803541494152,-135.0636025260343,-142.56592006363104,-139.14961783030583,-147.19523286152832,-144.30883150768292,-136.05947294978967,-135.1796918385737,-144.03484671294436,-141.4241085598546,-134.84528157960756,-140.86646967272526,-136.81321335697675,-129.12856513661046,-139.8162463034693,-138.34555446180417
9,-148.01239534725337,-145.1303729277506,-146.90619954168054,-143.58131228991533,-153.4871145687368,-153.403513974744,-155.75969428466507,-143.95480969613038,-157.52864933390512,-145.8349414100829,-154.9753733156782,-144.26875728561242,-144.3682040686302,-140.6792110355864,-151.78568747683263,-144.29030282271498,-148.85154409073797,-150.03181991787767,-156.40200694142086,-150.30981249759836,-147.13913450117104,-142.90921672695887,-150.72872574320886,-150.7440847010626,-148.6306272868851,-147.90415825866293,-145.91408396845114,-141.63759047353463,-148.17381671194872,-145.6752244023932
10,-156.96395209533821,-149.58502683208675,-146.705301484756,-150.36634846643767,-154.8588913834186,-155.92069133527312,-152.16994927428368,-152.0673736172917,-157.17051587658852,-148.07645215167656,-155.57965390369287,-150.54538269048527,-149.5503925167728,-149.58958047135056,-156.1164523150583,-151.50093027903804,-152.0838262835746,-154.02465678267174,-160.1936285937205,-152.9801040019267,-152.08181823417115,-148.46723252403143,-154.43103264632003,-154.21760149784808,-155.47553956319533,-152.14258836619084,-152.49406023077472,-154.35282750043586,-154.48819150071392,-151.52928207471723
11,-155.13119854658794,-144.78031184707825,-143.73579700401007,-149.23892449110596,-149.38994355321003,-148.79921664369232,-144.19475842362883,-148.49127598031916,-146.9757974306459,-145.538528295701,-147.38959942106007,-147.2277894645369,-148.47034506102435,-148.6001319697943,-154.36726718930626,-146.5715467582597,-149.57567592302163,-150.27143554991326,-154.5074686715593,-151.58637711795933,-147.61436905849612,-147.45817224924483,-149.09762302418147,-148.94150454993587,-150.93365313005273,-147.22977998205167,-147.86193634354024,-154.50662937846818,-150.5124900467483,-147.04429951681018
12,-149.48239184783876,-139.93558970986206,-142.5525273738991,-143.4997232883241,-143.43774573709123,-140.6201886707054,-136.06725811260068,-139.2388250770907,-138.82086428309245,-142.9410213338299,-137.94100793181943,-143.37668181910766,-144.55132043636385,-144.65008436380086,-147.44832500397212,-139.46250790107837,-143.16387107123347,-143.90976562059296,-148.04357921588047,-146.53983844863316,-140.14217087637115,-144.5837329460375,-144.97839186960766,-143.09868986087588,-143.63751429902013,-144.01206476301152,-143.77952748695867,-152.20689559424403,-140.79324160122067,-142.56899838513442
13,-144.4009307059474,-135.946972044181,-141.1617387310063,-139.15972661327632,-139.65786344081135,-137.1863426754918,-129.1225849976417,-136.04617066875426,-133.73654806709862,-138.99090581929514,-134.0691645542121,-139.76835524961155,-142.33584827169804,-141.40800480576985,-144.26466518103442,-134.6913016326722,-139.0213354401943,-139.5921850045012,-147.1382954468245,-139.35460735620407,-135.5765285417193,-144.51482956939756,-144.59010908148946,-138.2113238710561,-135.29792282128366,-138.4321959683121,-142.5044578142081,-149.1601558564822,-132.96083736601264,-141.50009078048288
14,-142.84481298269426,-137.33816750208027,-137.38587637178742,-140.19058513560887,-136.92883842249051,-137.3775861969337,-129.72519245920915,-139.42915983583663,-129.83132945613497,-138.5489696760239,-137.72055182794494,-138.06223474942325,-141.96223301073164,-138.78202755462405,-146.78186023355528,-135.5604810846033,-139.50318634702168,-137.05582324553222,-151.83053240814115,-137.56143492118602,-140.39569848467573,-144.3376083845637,-147.2984035824025,-138.69979911791074,-131.1024743044737,-134.66820843108033,-145.09477643551355,-147.53248524231074,-132.81108592492123,-142.21977643089747
15,-149.18478781292606,-148.2597276667557,-142.63389352925924,-147.68088918236413,-140.92056626195134,-142.70429409716778,-138.9812791321659,-148.43548358782488,-139.60010213536862,-145.2350636130061,-146.82032457251947,-143.7594792595137,-149.67236436118864,-144.6041288516799,-154.86777544477727,-143.09092183942985,-146.55547510430435,-143.7813171876844,-159.39469735509448,-140.9736257645906,-150.2830321134529,-150.6628840905352,-154.8137789402081,-147.31795341853402,-139.37783224618806,-144.40794118459567,-151.44505325510423,-150.22733502568536,-143.3184901117932,-147.38773343967293
16,-156.38150305696007,-157.62148110684913,-151.53822337707564,-152.88222321210455,-150.04892703988492,-148.45690574422738,-151.77497115854558,-155.80307191719993,-153.64221852441145,-152.52097273482428,-152.9420484400428,-148.95259931319993,-158.19148853785015,-151.27381400372704,-158.55489806860564,-148.2839086366323,-151.63607538228237,-150.53746770530884,-159.78932296608593,-148.7852063175271,-156.7405465043714,-155.85553693275656,-159.1275291292544,-152.52192932902784,-152.4686224347141,-156.27229154689036,-154.6561322107315,-153.44956744461626,-152.76173890146538,-154.89929438804597
17,-155.2754371340037,-156.4806431425522,-148.98068190573392,-152.4068320003668,-147.45569475386594,-147.19247830138752,-151.94713765830917,-151.6066033344929,-151.91223417608379,-150.98961350449758,-150.42470786992303,-149.39803260409633,-154.7946261583325,-150.3749524932806,-150.16165300428463,-149.19481312833105,-150.11766954664589,-147.2346637399925,-153.5818160394993,-148.21433772375738,-153.167190432403,-148.2563553253243,-154.57427217376133,-147.51002918766804,-151.11871206632324,-153.76674929231092,-149.9364788005888,-150.7411732611292,-151.37886823184718,-153.52022100915994
18,-149.20251766170628,-152.0858874989597,-141.84714370746352,-147.53337663451157,-142.26356653284287,-141.35826782794578,-146.27488400138583,-146.20224621661825,-142.6180074674213,-148.28492939512088,-143.56101365930434,-147.98646909844783,-148.1682166572086,-147.4421168094006,-142.61286654741554,-146.62091274858946,-142.83230674219635,-141.21198228785542,-144.89081647958454,-143.8771758262628,-147.23366056015698,-140.99276444105445,-148.10739556993443,-142.07029053381186,-142.17459769925148,-145.17336583792175,-143.333138116192,-143.06115088590153,-143.5249473990938,-147.7994321387222
19,-145.94363151245955,-149.08815996060133,-135.59635971777823,-143.50884812442115,-137.89345299700346,-140.84583478993653,-142.25477686764054,-144.68348434210571,-137.84571520842204,-146.45455569689224,-140.03387679726308,-146.5512576789033,-141.9638398119976,-143.71617968359624,-137.4368793065525,-141.09347329708845,-135.8800315319832,-135.97516212929702,-135.65636258933858,-141.48803269670077,-143.03753018342377,-141.11355247457104,-142.00194130466,-138.88067353473735,-135.37445546491782,-136.4503277228671,-137.21520312544845,-134.30452044263038,-140.51913967015392,-144.98076999268227
20,-141.36982020299996,-145.75190798966568,-131.23602069517693,-137.7864435308633,-134.6239893051366,-143.1761633284108,-141.1398184584303,-139.30424999910213,-134.09162689112455,-144.16397239583725,-135.8960355891342,-146.668064156043,-138.86361377148634,-140.0627519037672,-135.67771975878756,-138.57881857907668,-129.66037321812485,-131.6739903622195,-132.6007913275729,-139.8125069134478,-141.01458679924107,-142.03520771171216,-139.08115406827457,-134.17838324645297,-135.5834243148483,-131.00941829017862,-131.00707822053005,-132.73143168678948,-142.71777219775242,-141.90463193059563
